Branch,CGPA,AllottedStationName,Stipend,AllotedSemester1,AllotedSemester2
B5AA,8.35,Texas Instruments - Analog,60000,1,1
AA,8.35,"Tenstorrent ,Bengaluru",100000,0,1
A7,8.35,QUALCOMM,45000,0,1
B3A7,8.35,Morgan Stanley Equity Research,100000,1,1
AA,8.35,"Avalara Technologies,Pune",50000,0,1
A4,8.346,Nielsen - DD Continuing,50000,1,0
A4,8.345,"Flipkart Internet Pvt Ltd - Business Analytics,Bengaluru",50000,1,0
B3A7,8.34,Walmart,100000,0,1
A8,8.34,Texas Instruments -- Digital,60000,0,1
A3,8.34,Texas Instruments - Analog,60000,0,1
B2A4,8.34,"Piramal Group - Tech,Mumbai",75000,1,1
A7,8.33,Walmart,100000,0,1
B4A7,8.33,"UBER - Software Engineer, Bengaluru",177000,1,1
AA,8.33,QUALCOMM,45000,0,1
B3A7,8.33,"Nutanix , Bengaluru / Pune",110000,1,1
A7,8.33,MathWorks India Private Limited,55000,0,1
A7,8.33,Hevo Technologies India Pvt. Ltd.,150000,0,1
A7,8.33,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,8.32,Walmart,100000,0,1
AA,8.32,Texas Instruments -- Digital,60000,0,1
B3A7,8.32,Morgan Stanley Equity Research,100000,1,1
A8,8.32,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
A7,8.32,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,0,1
A3,8.31,Texas Instruments - Analog,60000,0,1
A7,8.31,"Siemens Industry Software India Pvt. Ltd, Pune",40000,0,1
B1AA,8.31,"Nutanix , Bengaluru / Pune",110000,1,1
A3,8.31,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
B3AA,8.31,"JPMC CIB Research & Analytics, Markets - Trading and Structuring",175000,1,1
A7,8.31,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,8.31,"Flipkart (Software Development),Bengaluru",100000,0,1
AA,8.31,"Flipkart (Software Development),Bengaluru",100000,0,1
AA,8.307,Texas Instruments - Analog,60000,1,0
A4,8.306,JPMC GR&C Market Risk,150000,1,0
A4,8.305,JPMC CIB R&A – Banking,75000,1,0
A8,8.3,Wayfair Global Technology Pvt. Ltd-SCRT,100000,0,1
A7,8.3,"Oracle, Bangalore",100000,0,1
B4A7,8.3,"JPMC, Model Risk and Governance Review",150000,0,1
B5A2,8.3,"DBOI- CRDU, Pune",50000,1,1
A3,8.3,AMAZON SDE,143000,0,1
AB,8.295,Telus International - Product Management,70000,1,0
A3,8.29,Texas Instruments - Analog,60000,0,1
AA,8.29,QUALCOMM,45000,0,1
B5A4,8.29,Morgan Stanley Advantage Services - Legal and Compliance,125000,1,1
A3,8.29,Meesho,35000,0,1
A7,8.29,MathWorks India Private Limited,55000,0,1
B3A8,8.29,"JPMC CIB Research & Analytics, Markets - Trading and Structuring",175000,1,1
A7,8.29,Google India Software,123333,0,1
A1,7.02,JPMC CIB R&A – Banking,75000,0,1
A3,8.28,Texas Instruments - Embedded Software,60000,0,1
AA,8.28,Texas Instruments - Analog,60000,0,1
B5A3,8.28,"Nutanix , Bengaluru / Pune",110000,1,1
B4A7,8.28,Nomura- Risk Management - CEM Internship,N/A,1,1
B3A7,8.28,Nomura- Global Markets-Analyst role,N/A,1,1
A7,8.28,Franklin Templeton - Data Science/Finance,150000,0,1
A7,8.28,"Flipkart (Software Development),Bengaluru",100000,0,1
A4,8.274,CSIR-NAL,N/A,1,0
A3,8.27,Texas Instruments - Analog,60000,0,1
B5A4,8.27,Morgan Stanley Fixed Income Division - Counterparty Risk role,100000,1,1
B1A7,8.27,JPMC Market Risk Product Analytics,150000,1,1
A7,8.27,Franklin Templeton - Data Science/Finance,150000,0,1
A3,8.27,"BlokTrek,Bengaluru",N/A,0,1
B4A3,8.27,AMAZON SDE,143000,1,1
B4AA,8.26,Texas Instruments - Analog,60000,1,1
A7,8.26,"Flipkart (Software Development),Bengaluru",100000,0,1
A3,8.26,"Aptiv ,Bengaluru",50000,0,1
A7,8.26,"Apple-Software Development Engineering , IS&T",90000,0,1
A3,8.25,Texas Instruments - Analog,60000,0,1
B5A7,8.25,"Nutanix , Bengaluru / Pune",110000,1,1
B3A7,8.25,"Confluent India Pvt Ltd.,Bengaluru",110000,0,1
A3,8.25,"Cadence Design Systems,Bengaluru",N/A,0,1
AA,8.25,AMAZON SDE,143000,0,1
A7,8.25,AMAZON SDE,143000,0,1
A7,8.24,Meesho,35000,0,1
A7,8.24,"Guardian Life Insurance Company, Chennai",100000,0,1
A7,8.24,"Flipkart (Software Development),Bengaluru",100000,0,1
B4A7,8.24,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,8.24,"Electronic Arts, India",49476,0,1
A7,8.24,"Arista Networks India Private Limited,Bengaluru",75000,0,1
A7,8.24,"Apple-Software development-MSI, Product Operations team",90000,0,1
A7,8.24,AMAZON SDE,143000,0,1
B3A7,8.24,"A.T. Kearney Consulting (India) Private Limited,Gurugram",125000,1,1
A4,8.238,JPMC CIB R&A – Banking,75000,1,0
B5A7,8.23,"Nutanix , Bengaluru / Pune",110000,1,1
B3A7,8.23,Nomura- Wholesale Strategy,N/A,1,1
A7,8.23,"Netradyne,Bengaluru",35000,0,1
B4A4,8.23,"Indus Insights and Analytical Services Pvt Ltd,Gurugram",N/A,1,1
A3,8.23,Google India Hardware Engineering,125000,0,1
A7,8.23,AMAZON SDE,143000,0,1
A7,8.228,"Project44 Software Services Pvt. Ltd., Bengaluru",135000,1,0
A4,8.226,GE Aerospace,N/A,1,0
A7,8.22,Qure.ai Technologies Pvt. Ltd.,125000,0,1
B1A7,8.22,"Nutanix , Bengaluru / Pune",110000,1,1
A7,8.22,Nielsen Global Media,50000,0,1
AA,8.22,IBM,30000,0,1
A7,8.22,Goldman Sachs - Hyderabad,191666,0,1
A4,8.21,WCB Robotics India Pvt Ltd - Mechanical,32500,0,1
A7,8.21,Walmart,100000,0,1
AA,8.21,Texas Instruments - Embedded Software,60000,0,1
B2A7,8.21,"Nutanix , Bengaluru / Pune",110000,1,1
A7,8.21,IBM,30000,0,1
A7,8.21,IBM,30000,0,1
A7,8.21,"Flipkart Internet Pvt Ltd - Data Engineering,Bengaluru",100000,0,1
B5A3,8.21,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,0,1
B2A7,8.21,"Apple-Software Development Engineering , IS&T",90000,1,1
A7,8.206,"Eightfold AI India Pvt. Ltd.,Bengaluru/Noida",120000,1,0
A7,8.2,Silverleaf Capital Services Private Limited,N/A,,1
A4,8.2,"Siemens Energy, Gurugram",40000,0,1
A7,8.2,RingCentral India Pvt Ltd,50000,0,1
B4A7,8.2,Hevo Technologies India Pvt. Ltd.,150000,0,1
B1A4,8.2,"Flipkart Internet Pvt Ltd - Business Analytics,Bengaluru",50000,1,1
A3,7.85,Telus International - Solution Engineering,70000,0,1
B1A7,8.19,"Nutanix , Bengaluru / Pune",110000,1,1
B3AA,8.19,"MIPS Embedded Technologies Pvt. Ltd,Bengaluru",50000,1,1
B3AA,8.19,Franklin Templeton - Data Science/Finance,150000,1,1
B2A3,8.19,"Flipkart Internet Pvt Ltd - Data Engineering,Bengaluru",100000,0,1
A4,8.19,"Flipkart Internet Pvt Ltd - Business Analytics,Bengaluru",50000,0,1
B5A7,8.19,"D. E. Shaw India Private Limited - Project 1,Hyderabad",283000,0,1
A4,8.189,CSIR-NAL,N/A,1,0
AA,8.18,Walmart,100000,0,1
B3A7,8.18,Walmart,100000,0,1
A7,8.18,Qure.ai Technologies Pvt. Ltd.,125000,0,1
B4A7,8.18,Qure.ai Technologies Pvt. Ltd.,125000,0,1
B3AA,8.18,"Nutanix , Bengaluru / Pune",110000,1,1
B1A1,8.18,Morgan Stanley Exo Trading,100000,1,1
B2A8,8.18,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
B5A4,8.18,JPMC - GR&C WCR Counterparty Credit Risk,150000,1,1
A3,8.18,"Guardian Life Insurance Company, Chennai",100000,0,1
B2A1,8.18,"Gameskraft, IT- Product Management",N/A,1,1
A7,8.18,ARM Embedded Technologies Pvt Ltd,N/A,0,1
B3A7,8.18,"Apple-Software Development Engineering , IS&T",90000,0,1
A7,8.178,"Telus International AI - Machine Learning,Bengaluru",150000,1,0
A7,8.17,Zomato,0,0,1
B1A8,8.17,Texas Instruments - Analog,60000,0,1
B1A3,8.17,Telus International - Prompt Engineers - Code,104000,1,1
A8,8.17,"Nutanix , Bengaluru / Pune",110000,1,0
A7,8.17,McCain Foods (India) Pvt. Ltd.,50000,0,1
AA,8.17,"Infinera,Bengaluru",N/A,0,1
B1A4,8.17,"Flipkart Internet Pvt Ltd - Business Analytics,Bengaluru",50000,1,1
A3,8.17,"A.T. Kearney Consulting (India) Private Limited,Gurugram",125000,0,1
B3A7,8.16,UBS- Global Banking(Front office),60000,1,1
B5A3,8.16,"Nutanix , Bengaluru / Pune",110000,1,1
A7,8.16,Nurix Labs Private Limited - Tech,N/A,,1
B3A7,8.16,Nomura- Finance - MICMA Internship,N/A,1,1
B5AA,8.16,Morgan Stanley Counterparty Risk role,100000,1,1
A7,8.16,"Flipkart Internet Pvt Ltd - Data Engineering,Bengaluru",100000,0,1
A3,8.16,"Flipkart Internet Pvt Ltd - Data Engineering,Bengaluru",100000,0,1
AA,8.16,"Cadence Design Systems,Bengaluru",N/A,0,1
A4,8.157,Forus Health,40000,1,0
A4,8.152,"Flipkart Internet Pvt Ltd - Business Analytics,Bengaluru",50000,1,0
A7,8.15,Qure.ai Technologies Pvt. Ltd.,125000,0,1
B4AA,8.15,Google India Hardware Engineering,125000,1,1
A7,8.15,"Even Healthcare, Bengaluru",100000,0,1
A1,7.14,"UBS- RAS (Finance), Pune",60000,0,1
A7,8.149,"Telus International AI - Machine Learning,Bengaluru",150000,1,0
A4,8.148,JPMC CIB R&A – Banking,75000,1,0
B5A4,8.14,Scapia Technology Private Limited - Software Engineering,100000,1,1
A8,8.14,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
AA,8.14,McCain Foods (India) Pvt. Ltd.,50000,0,1
B4A1,8.14,"Indus Insights and Analytical Services Pvt Ltd,Gurugram",N/A,1,1
B3A7,8.14,"Guardian Life Insurance Company, Chennai",100000,1,1
A7,8.14,"Flipkart Internet Pvt Ltd - Data Engineering,Bengaluru",100000,0,1
B5A4,8.14,"Apple-MDE-MD team - Manufacturing Design Engineering, Bengaluru",90000,1,1
A8,8.13,Wayfair Global Technology Pvt. Ltd- GST,100000,0,1
A7,8.13,Walmart,100000,,1
B4A3,8.13,Texas Instruments - Embedded Software,60000,1,1
AA,8.13,SEDEMAC Mechatronics Limited,30000,0,1
A7,8.13,Qure.ai Technologies Pvt. Ltd.,125000,,1
AA,8.13,PwC US Advisory,80000,0,1
B5A3,8.13,"Nutanix , Bengaluru / Pune",110000,1,1
A1,7.241,"DBOI - Business Finance,Mumbai",50000,1,0
B4A3,8.13,"Flipkart Internet Pvt Ltd - Site Reliability Engineering,Bengaluru",100000,0,1
B4A7,8.13,AMAZON SDE,143000,0,1
A3,8.128,"AMD,Hyderabad",35000,1,0
A4,8.123,"Zetwerk Manufacturing Businesses, Noida",N/A,1,0
A4,8.123,"Flipkart Internet Pvt Ltd - Business Analytics,Bengaluru",50000,1,0
A3,8.12,Walmart,100000,0,1
AA,8.12,Texas Instruments - Analog,60000,0,1
B1AA,8.12,Telus International - Software Engineering,102000,1,1
A3,8.12,"Piramal Group - Tech,Mumbai",75000,0,1
B5A7,8.12,"Nutanix , Bengaluru / Pune",110000,1,1
A3,8.12,"Guardian Life Insurance Company, Chennai",100000,0,1
A7,8.12,"Flipkart Internet Pvt Ltd - UI Team ,Bengaluru",100000,0,1
A3,8.11,Walmart,100000,0,1
B2A1,8.11,Telus International - Product Management for AI,70000,1,1
B5A4,8.11,Purplle,50000,0,1
AA,8.11,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
A7,8.11,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
A1,8.639,"DBOI - GCAF,Mumbai",50000,1,0
A7,8.11,IBM,30000,,1
A7,8.11,"Guardian Life Insurance Company, Chennai",100000,0,1
A7,8.11,"Apple-Software Development Engineering , IS&T",90000,0,1
AA,8.103,JPMC CIB R&A – Banking,75000,1,0
A7,8.1,Walmart,100000,0,1
A8,8.1,"Renesas, Bengaluru",45000,0,1
A8,8.1,"Netradyne,Bengaluru",35000,0,1
AA,8.1,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
A7,8.1,JPMC CIB R&A – Banking,75000,0,1
A8,8.092,Telus International - Software Engineering,102000,1,0
B2A8,8.09,"UBS- QRM, Mumbai",60000,1,1
A8B5,8.09,Telus International - Software Engineering,102000,1,1
B3A7,8.09,Nomura- Global Markets-Analyst role,N/A,1,1
B4A1,8.09,Nomura IT Internship - GMIT - Trade Processing,N/A,1,1
B3A7,8.09,"Flipkart (Software Development),Bengaluru",100000,1,1
B3A7,8.09,COMMVAULT,N/A,0,1
B2AA,8.08,"UBER - Software Engineer, Hyderabad/Bengaluru",177000,1,1
A3,8.08,Texas Instruments - Analog,60000,0,1
A3,8.08,"Tenstorrent ,Bengaluru",100000,0,1
A4,8.08,"Siemens Energy, Gurugram",40000,0,1
A7,8.08,Postman,60000,0,1
B1A7,8.08,"Flipkart (Software Development),Bengaluru",100000,1,1
A7,8.08,"Avalara Technologies,Pune",50000,0,1
A3,8.077,Texas Instruments - Embedded Software,60000,1,0
A4,8.076,"IFB Industries,Goa",0,1,0
A4,8.074,JPMC CIB R&A – Banking,75000,1,0
A4,8.072,Viacom -Business Analytics & Business Intelligence,N/A,1,0
AB,8.072,JPMC CIB Research & Analytics Markets - CCAR & Sales,150000,1,0
A7,8.07,Walmart,100000,0,1
B4AA,8.07,Telus International - Software Engineering,102000,1,1
B3A4,8.07,Morgan Stanley Fixed Income Division - Counterparty Risk role,100000,1,1
B3A4,8.07,"JPMC CIB Research & Analytics, Global Research",150000,1,1
B5A4,8.07,"Flipkart Internet Pvt Ltd - Business Analytics,Bengaluru",50000,1,1
AA,8.07,"Aptiv ,Bengaluru",50000,0,1
A3,8.07,AMAZON SDE,143000,0,1
AA,8.06,"Renesas, Hyderabad",45000,0,1
B4A7,8.06,"Oracle, Bangalore",100000,1,1
B2A1,8.06,"Metadome,Gurugram",N/A,1,1
B2A1,8.06,JPMC GR&C Market Risk,150000,1,1
A7,8.06,"Flipkart Internet Pvt Ltd - Site Reliability Engineering,Bengaluru",100000,0,1
A4,8.06,"Exobot Dynamics Pvt Ltd,Sonepat",12000,0,1
A7,8.06,"A.T. Kearney Consulting (India) Private Limited,Gurugram",125000,,1
AA,8.056,JPMC CIB Research & Analytics Markets - CCAR & Sales,150000,1,0
AA,8.055,"AMD,Hyderabad",35000,1,0
B3A7,8.05,"UBS- QRM, Mumbai",60000,1,1
A3,8.05,Texas Instruments - Analog,60000,0,1
A7,8.05,QUALCOMM,45000,,1
A7,8.05,"Oracle, Bangalore",100000,,1
B4A3,8.05,"JPMC, Model Risk and Governance Review",150000,0,1
N/A,7.48,"QualityKiosk Technologies India Pvt Ltd , Navi mumbai",70000,1,1
B1A8,8.05,"JPMC - G&C - CIO, Treasury & Corporate (CTC) Risk team - Credit Risk/ Liquidity Risk",150000,1,1
AA,8.05,"Flipkart Internet Pvt Ltd - UI Team ,Bengaluru",100000,0,1
AA,8.05,Carrier Technologies India Limited,N/A,0,1
A4,8.048,Viacom - Content Strategy & Analytics,N/A,1,0
A1,7.505,"DBOI - OPS, Bengaluru",50000,1,0
A7,8.04,Meesho,35000,,1
A7,8.04,Franklin Templeton - Data Science/Finance,150000,0,1
A7,8.04,"Flipkart Internet Pvt Ltd - Site Reliability Engineering,Bengaluru",100000,,1
B3A3,8.04,AMAZON SDE,143000,1,1
A7,8.03,MathWorks India Private Limited,55000,,1
A7,8.03,Hevo Technologies India Pvt. Ltd.,150000,,1
B3A7,8.03,"Flipkart Internet Pvt Ltd - Site Reliability Engineering,Bengaluru",100000,0,1
B5AA,8.03,"Enkrypt AI, Bengaluru",N/A,0,1
A7,8.027,"Flipkart (Software Development),Bengaluru",100000,1,0
A7,8.02,Zynga,100000,,1
AA,8.02,QUALCOMM,45000,0,1
A7,8.02,JPMC CIB R&A- Banking&Fintech,75000,,1
A7,8.02,JPMC CIB R&A – Banking,75000,,1
A7,8.02,CME GROUP,N/A,,1
B2AA,8.02,Astera Labs,90000,0,1
A4,8.019,"KPMG,Gurugram",30000,1,0
B1A3,8.01,Telus International - Product Management for AI,70000,1,1
B3A7,8.01,"PhonePe Private Limited,Bengaluru",80000,0,1
A1,7.36,"DBOI - OPS, Bengaluru",50000,1,0
B2AA,8.01,Goldman Sachs - Bengaluru,191666,0,1
N/A,9.33,Texas Instruments -- Digital,60000,0,1
B5AA,8.01,"Flipkart Internet Pvt Ltd - Site Reliability Engineering,Bengaluru",100000,1,1
B5A7,8,Walmart,100000,0,1
B4AA,8,"UBS- Finance Liquidity and Funding Modelling, Powai",60000,1,1
B5A7,8,Sundial Systems Pvt. Ltd. - Engineering,N/A,1,1
A7,8,"Apple-Software Development Engineering , IS&T",90000,0,1
AA,7.991,Telus International - Software Engineering,102000,1,0
A7,7.99,Walmart,100000,0,1
B1AA,7.99,Texas Instruments - Embedded Software,60000,1,1
B4A3,7.99,Telus International - Software Engineering,102000,1,1
B4A7,7.99,Postman,60000,1,1
B4A7,7.99,Morgan Stanley - Firm Risk Management,100000,1,1
B1A4,7.99,"Guardian Life Insurance Company, Chennai",100000,1,1
A3,7.99,"Flipkart Internet Pvt Ltd - UI Team ,Bengaluru",100000,0,1
B4A7,7.99,Apple-Software development- BPR team-Business Process Re-engineering,90000,0,1
A4,7.981,"JPMC CIB Research & Analytics, Markets - Trading and Structuring",175000,1,0
A5,7.981,Flipkart Internet Pvt. Ltd. - AM Planning,100000,1,
A7,7.98,Walmart,100000,,1
A7,7.98,Texas Instruments - Embedded Software,60000,,1
A3,7.98,Texas Instruments - Embedded Software,60000,0,1
B3A3,7.98,"Intel,Bengaluru",40000,1,1
A7,7.98,"Flipkart Internet Pvt Ltd - UI Team ,Bengaluru",100000,,1
B4A7,7.98,"Blackrock QAE, Mumbai",N/A,,1
B1AA,7.97,"UBER - Software Engineer, Hyderabad/Bengaluru",177000,1,1
B4AA,7.97,Telus International - Prompt Engineers - Logic and Reasoning,75000,1,1
B3A3,7.97,Telus International - Prompt Engineers - Code,104000,1,1
B3A7,7.97,"Project44 Software Services Pvt. Ltd., Bengaluru",135000,1,1
B4A8,7.97,ParaScalr Inc - Semiconductor Devices/VLSI,N/A,0,1
AA,7.97,"NXP India Pvt Ltd, Bengaluru",N/A,0,1
B4A7,7.97,Nomura Global Markets SP Quants role,N/A,1,1
A3,7.97,"DBOI - GCAF,Mumbai",50000,0,1
A7,7.97,COMMVAULT,N/A,,1
A4,7.963,Flipkart Internet Pvt. Ltd. - AM Planning,100000,1,0
A7,7.96,Walmart,100000,,1
A3,7.96,Texas Instruments -- Digital,60000,0,1
B4A7,7.96,"Project44 Software Services Pvt. Ltd., Bengaluru",135000,1,1
A7,7.96,"PhonePe Private Limited,Bengaluru",80000,,1
B2A3,7.96,Nanojoules Semiconductors,40000,0,1
A7,7.96,McCain Foods (India) Pvt. Ltd.,50000,,1
B3A7,7.96,"JPMC CIB Research & Analytics, Global Research",150000,1,1
B5A8,7.96,"Intel,Bengaluru",40000,1,1
B3A7,7.96,BureauID India Private Limited,N/A,0,1
A7,7.96,AMAZON SDE,143000,0,1
A7,7.952,NetApp India Pvt. Ltd. - Cloud Volume Engineering,50000,1,0
A8,7.95,Walmart,100000,0,1
AA,7.95,Texas Instruments - Embedded Software,60000,0,1
B1A4,7.95,Nielsen - DD Continuing,50000,1,1
A7,7.95,"Flipkart (Software Development),Bengaluru",100000,1,0
A7,7.95,"Arista Networks India Private Limited,Bengaluru",75000,,1
AA,7.95,AMAZON SDE,143000,0,1
A1,8.352,"Flipkart Internet Pvt Ltd - Business Analytics,Bengaluru",50000,1,0
A7,7.94,Walmart,100000,,1
B1A7,7.94,"UBER - Data Analytics,Hyderabad/Bengaluru",N/A,1,1
B1A4,7.94,Telus International - Product Management for AI,70000,1,1
A3,7.94,QUALCOMM,45000,0,1
AA,7.94,"PSEMI Corporation, Chennai",45000,0,1
B2A8,7.94,"MIPS Embedded Technologies Pvt. Ltd,Bengaluru",50000,1,1
B3A4,7.94,"JPMC CIB Research & Analytics, Global Research",150000,1,1
B4A7,7.94,"Flipkart (Software Development),Bengaluru",100000,1,1
A7,7.94,"Dezerv Investments Pvt. Ltd , Bangalore",N/A,,1
B1A7,7.94,AMAZON SDE,143000,,1
A2,7.933,Viacom - D2C Subscriptions – ChatBots (WhatsApp and RCS),N/A,1,0
B1A7,7.93,Walmart,100000,,1
A4,7.93,"UBS- RAS (Finance), Pune",60000,0,1
B5A3,7.93,Telus International - Solution Engineering,70000,0,1
B1A7,7.93,Nielsen Global Media,50000,0,1
AA,7.93,Google India Hardware Engineering,125000,0,1
B3A7,7.93,Frontier Tower Associates Philippines Inc.,N/A,1,1
B2A4,7.93,"Flipkart Internet Pvt Ltd - Business Development,Bengaluru",50000,1,1
AA,7.92,ParaScalr Inc -Artificial Intelligence,N/A,0,1
B2A3,7.92,NetApp India Pvt ltd,60000,1,1
B4A8,7.92,Myntra Designs Pvt. Ltd,60000,1,1
B1A8,7.92,"MIPS Embedded Technologies Pvt. Ltd,Bengaluru",50000,1,1
B1A1,7.92,Bugbase Security Private Limited,N/A,1,1
B3A7,7.92,"Apple-Software Development Engineering , IS&T",90000,,1
AA,7.918,"Samsung R & D Institute -,Bengaluru",N/A,1,0
A4,7.917,Nielsen - DD Continuing,50000,1,0
AA,7.91,"Wayfair Global Technology Pvt. Ltd-Marketing, Data and ML platform Engineering team",100000,0,1
A7,7.91,Walmart,100000,0,1
A4,7.91,PRATT & WHITNEY,20000,0,1
B5A8,7.91,Morgan Stanley - Firm Risk Management,100000,1,1
N/A,7.69,"Ericsson Global India Pvt. Ltd.,Bengaluru",60000,0,1
A7,7.91,Apple-Software development- BPR team-Business Process Re-engineering,90000,,1
A4,7.903,"Siemens R&D, Bengaluru",40000,1,0
B4A3,7.9,Nomura- Fintech,N/A,1,1
B5A4,7.9,"Indus Insights and Analytical Services Pvt Ltd,Gurugram",N/A,1,1
B4A7,7.9,Goldman Sachs - Bengaluru,191666,0,1
A7,7.9,Eltropy ( Work on the U.S. time zone ),50000,,1
B2A4,7.9,"BlokTrek,Bengaluru",N/A,0,1
A1,9.23,"Flipkart Internet Pvt Ltd - Business Development,Bengaluru",50000,0,1
A7,7.89,Zynga,100000,,1
B1AA,7.89,Texas Instruments -- Digital,60000,1,1
A8,7.89,"Guardian Life Insurance Company, Chennai",100000,0,1
A3,7.89,"BlokTrek,Bengaluru",N/A,0,1
AA,7.889,Texas Instruments - Embedded Software,60000,1,0
B5A4,7.88,Zomato (Grofers),60000,0,1
A3,7.88,"UBS - GOTO, Pune",60000,0,1
B1A7,7.88,Sundial Systems Pvt. Ltd. - Data Science,N/A,1,1
B3AA,7.88,Nomura- Risk Management - Risk Methodology Group,N/A,1,1
AA,7.88,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
B2A7,7.88,"Flipkart (Software Development),Bengaluru",100000,1,1
B3A7,7.88,"AMD,Hyderabad",35000,,1
AA,7.876,GE Vernova Advanced (BANGALORE/NOIDA/HYDERABAD),N/A,1,0
A3,7.875,Texas Instruments - Embedded Software,60000,1,0
A3,7.87,"VINJEY Software Systems Pvt. Ltd., Bengaluru",N/A,0,1
B1A7,7.87,NetApp India Pvt ltd,60000,1,1
B4A3,7.87,"Intel,Bengaluru",40000,1,1
AA,7.87,"Aptiv ,Bengaluru",50000,0,1
A7,7.87,"Aptiv ,Bengaluru",50000,,1
B1A7,7.87,Apple Software engineering-WTE team,90000,,1
AA,7.869,Rusk Media Pvt. Ltd - Product Management,80000,1,0
A4,7.868,"Flipkart Internet Pvt Ltd - Business Development,Bengaluru",50000,1,0
B5AA,7.866,NetApp India Pvt ltd,60000,1,1
B1A3,7.86,NetApp India Pvt ltd,60000,1,1
B1A8,7.86,"Indus Insights and Analytical Services Pvt Ltd,Gurugram",N/A,1,1
A4,7.852,"Time tooth Technologies Pvt Ltd, Noida/Bengaluru",N/A,1,0
A7,7.85,Zynga,100000,,1
N/A,7.897,"Flipkart Internet Pvt Ltd - Business Development,Bengaluru",50000,1,1
B1A1,7.85,Morgan Stanley Advantage Services - FRM,125000,1,1
B5A3,7.85,Google India Hardware Engineering,125000,1,1
B5A7,7.85,"Flipkart (Software Development),Bengaluru",100000,1,1
B2A4,7.85,"DBOI - Infra Finance,Pune",50000,1,1
A7,7.85,"D. E. Shaw India Private Limited - Project 2,Hyderabad",250000,,1
A1,7.843,"Flipkart Internet Pvt Ltd - Business Development,Bengaluru",50000,1,0
B3A7,7.84,"UBS- QRM, Mumbai",60000,1,1
B2AA,7.84,Myntra Designs Pvt. Ltd,60000,1,1
A5,7.84,GTM Buddy Software private limited - Customer Success,N/A,1,0
A3,7.84,"Dezerv Investments Pvt. Ltd , Bangalore",N/A,1,0
A3,7.84,ARM Embedded Technologies Pvt Ltd,N/A,0,1
AA,7.84,AMAZON SDE,143000,0,1
A7,7.837,"Flipkart (Software Development),Bengaluru",100000,1,0
A5,7.835,"Flipkart Internet Pvt Ltd - Business Development,Bengaluru",50000,1,0
N/A,7.74,Eltropy ( Work on the U.S. time zone ),50000,0,1
A8,7.83,Walmart,100000,0,1
A3,7.83,Truva (Porch Technologies Private Limited) - IT,N/A,0,1
A3,7.83,Morgan Stanley Advantage Services - FRM,125000,0,1
B5A4,7.83,Morgan Stanley Advantage Services - FRM,125000,1,1
B5A1,7.83,"Flipkart Internet Pvt Ltd - Business Development,Bengaluru",50000,1,1
B5A7,7.83,"Flipkart (Software Development),Bengaluru",100000,1,1
A4,7.824,Siemens - Simulation and Digital Twin,40000,1,0
AA,7.822,"UBS- Product Control (Finance), Hyderabad",60000,1,0
B2A7,7.82,Wayfair Global Technology Pvt. Ltd- GST,100000,,1
A3,7.82,"UBS- Risk Data, Mumbai",60000,0,1
A3,7.82,SIEMENS EDA India Private Limited,40000,0,1
B3A7,7.82,PIEDS BITS Pilani,0,1,1
B1A7,7.82,Goldman Sachs - Bengaluru,191666,0,1
B2A7,7.82,"Flipkart (Software Development),Bengaluru",100000,1,1
A5,7.811,"Flipkart Internet Pvt Ltd - Business Development,Bengaluru",50000,1,0
B4A7,7.81,Wayfair Global Technology Pvt. Ltd- GST,100000,,1
A8,7.81,Walmart,100000,0,1
AA,7.81,Siemens EDA (Formerly Mentor Graphics) - Analog,40000,0,1
A3,7.81,McCain Foods (India) Pvt. Ltd.,50000,0,1
B5A7,7.81,"Flipkart (Software Development),Bengaluru",100000,1,1
A3,7.807,Petasense Technologies Pvt. Ltd,N/A,1,0
A4,7.804,"Flipkart Internet Pvt Ltd - Business Development,Bengaluru",50000,1,0
A7,7.8,Walmart,100000,,1
A7,7.8,"UBER - Software Engineer, Hyderabad/Bengaluru",177000,,1
B2A7,7.8,"UBER - Software Engineer, Hyderabad/Bengaluru",177000,1,1
B5A3,7.8,Texas Instruments -- Digital,60000,1,1
B4A3,7.8,ProteanTecs - Electronic Design Automation,40000,1,1
AA,7.8,"Netradyne,Bengaluru",35000,0,1
B3A7,7.8,Meesho,35000,,1
B5A1,7.8,"Indus Insights and Analytical Services Pvt Ltd,Gurugram",N/A,1,1
A7,7.8,"Avaamo, Bengaluru",N/A,,1
AA,7.8,ARM Embedded Technologies Pvt Ltd,N/A,0,1
A4,7.793,JPMC CIB R&A – Banking,75000,1,0
A1,7.781,"Flipkart Internet Pvt Ltd - Business Development,Bengaluru",50000,1,0
A7,7.79,Texas Instruments - Embedded Software,60000,,1
