Branch,CGPA,AllottedStationName,Stipend,AllotedSemester1,AllotedSemester2
AA,9.16,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
AA,9.16,"Ericsson Global India Pvt. Ltd.,Bengaluru",60000,0,1
A7,9.15,Google India Software,123333,0,1
A7,9.15,Dreamplug Technologies - DS,N/A,0,1
A7,9.14,Traceable.ai,N/A,0,1
AA,9.14,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,9.14,"Apple-Software Development Engineering , IS&T",90000,0,1
A7,9.13,Traceable.ai,N/A,0,1
A7,9.13,AMAZON SDE,143000,0,1
B5A7,9.12,JPMC - GR&C WCR Portfolio Analytics- Analytics Strategy,150000,1,1
A7,9.12,"Cohesity Storage Solutions India Pvt. Ltd., Bengaluru/Pune",120000,0,1
AA,9.11,JPMC CIB Research & Analytics Markets - CCAR & Sales,150000,0,1
A7,9.1,Wayfair Global Technology Pvt. Ltd- Search and Recommendations,100000,0,1
B3AA,9.09,Wayfair Global Technology Pvt. Ltd- Search and Recommendations,100000,1,1
A3,9.09,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
A7,9.08,"Project44 Software Services Pvt. Ltd., Bengaluru",135000,0,1
A7,9.08,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,0,1
A7,9.08,"Apple-Software Development Engineering , IS&T",90000,0,1
A7,9.07,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,0,1
A3,9.07,ALLEGRO MICRO SYSTEMS,N/A,0,1
A7,9.06,Telus International - Machine Learning,150000,0,1
AA,9.06,"Renesas, Hyderabad",45000,0,1
A7,9.06,"Oracle, Bangalore",100000,0,1
B1AA,9.06,"Nutanix , Bengaluru / Pune",110000,1,1
AA,9.056,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",1,0
B4A7,9.05,"Project44 Software Services Pvt. Ltd., Bengaluru",135000,1,1
A7,9.05,Harness.io,80000,0,1
A7,9.05,Apple Software engineering-WTE team,90000,0,1
A7,9.04,"Yugabyte, Bengaluru",125000,0,1
AA,9.04,QUALCOMM,45000,0,1
B3AA,9.04,JPMC GF&BM FESA Data Science,175000,1,1
A4,9.04,DBOI MVRM Ex Vals,50000,0,1
AA,9.03,Texas Instruments - Analog,60000,0,1
A7,9.03,"Oracle, Bangalore",100000,0,1
AA,9.03,"Flipkart (Software Development),Bengaluru",100000,1,1
B5A7,9.02,"Nutanix , Bengaluru / Pune",110000,1,1
A3,9.02,"Aptiv ,Bengaluru",50000,0,1
A7,9,Wayfair Global Technology Pvt. Ltd-SCRT,100000,0,1
A8,9,"Tenstorrent ,Bengaluru",100000,0,1
B2A3,9,Scapia Technology Private Limited - Software Engineering,100000,0,1
AA,9,QUALCOMM,45000,0,1
A3,9,"Flipkart (Software Development),Bengaluru",100000,0,1
B3A7,8.99,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,1,1
A8,8.98,RingCentral India Pvt Ltd,50000,0,1
A7,8.98,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,0,1
A5,8.98,"DBOI- Global Reporting,Mumbai/Pune",50000,0,1
A7,8.98,Capital One,100000,0,1
B3A7,8.98,"Apple-Software Development Engineering , IS&T",90000,0,1
A7,8.97,Walmart,100000,0,1
A7,8.97,Apple- SW-BPR,90000,0,1
A4,8.963,Telus International - Product Management,70000,1,0
AA,8.963,"Nutanix , Bengaluru / Pune",110000,1,
A7,8.96,"Yugabyte, Bengaluru",125000,0,1
B1A7,8.96,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,1,1
AA,8.95,QUALCOMM,45000,0,1
B4A7,8.95,"Oracle, Bangalore",100000,1,1
AA,8.941,"Nutanix , Bengaluru / Pune",110000,1,0
A7,8.94,Walmart,100000,0,1
B3A7,8.94,"Nutanix , Bengaluru / Pune",110000,1,1
A7,8.94,IBM,30000,0,1
B3A7,8.93,Morgan Stanley FID Research roles,125000,1,1
A7,8.923,"Nutanix , Bengaluru / Pune",110000,1,0
A7,8.92,Walmart,100000,0,1
A8,8.92,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
B3A7,8.92,Morgan Stanley Quant (Model) Audit Team,100000,1,1
A7,8.92,JPMC - GR&C -AWM Investment Risk Analytics,150000,0,1
A7,8.92,"Flipkart (Software Development),Bengaluru",100000,0,1
AA,8.92,ALLEGRO MICRO SYSTEMS,N/A,0,1
A8,8.913,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",1,0
A7,8.91,"Yugabyte, Bengaluru",125000,0,1
B5A7,8.91,"Singlestore India Pvt Ltd,Hyderabad",150000,1,1
B5A7,8.91,Qure.ai Technologies Pvt. Ltd.,125000,0,1
AA,8.91,QICAP Markets LLP,100000,0,1
B4A3,8.9,"JPMC CIB Research & Analytics, Global Research",150000,1,1
AA,8.9,Google India Hardware Engineering,125000,0,1
B2A7,8.9,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,0,1
A1,8.048,Flipkart Internet Pvt. Ltd. - AM Planning,100000,1,0
B3A7,8.89,JPMC GF&BM FESA Data Science,175000,1,1
AA,8.88,"Rivos Systems India Pvt Ltd,Bengaluru",70000,0,1
A7,8.88,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,0,1
AA,8.87,Texas Instruments -- Digital,60000,0,1
A7,8.87,QUALCOMM,45000,0,1
A7,8.87,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,0,1
A1,8.895,"Rusk Media Pvt. Ltd - Business Analyst, Mumbai",80000,1,0
A7,8.86,Walmart,100000,0,1
B3A7,8.86,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,0,1
B5A7,8.85,"UBER - Software Engineer, Hyderabad/Bengaluru",177000,1,1
B5AA,8.85,"UBER - Software Engineer, Hyderabad/Bengaluru",177000,1,1
AB,8.85,"QualityKiosk Technologies India Pvt Ltd , Navi mumbai",70000,0,1
B5A7,8.85,"Nutanix , Bengaluru / Pune",110000,1,1
A3,8.84,"Rivos Systems India Pvt Ltd,Bengaluru",70000,0,1
B4A7,8.84,"Project44 Software Services Pvt. Ltd., Bengaluru",135000,0,1
A7,8.84,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
B3A7,8.84,JPMC GF&BM FESA Data Science,175000,1,1
A7,8.83,Walmart,100000,0,1
B3A7,8.83,"Nutanix , Bengaluru / Pune",110000,1,1
A7,8.83,"Arista Networks India Private Limited,Bengaluru",75000,0,1
A8,8.83,"Aptiv ,Bengaluru",50000,0,1
A1,8.13,JPMC CIB R&A – Banking,75000,0,1
A7,8.82,Texas Instruments -- Software Development- SDE,60000,0,1
B2A7,8.82,Sundial Systems Pvt. Ltd. - Engineering,N/A,1,1
B3A7,8.82,Morgan Stanley Quantitative and Investment Strategies Strats role,113000,1,1
B3A7,8.81,"JPMC CIB Research & Analytics, Markets - Trading and Structuring",175000,1,1
A7,8.8,"Wayfair Global Technology Pvt. Ltd-Marketing, Data and ML platform Engineering team",100000,0,1
AA,8.8,QUALCOMM,45000,0,1
B4A7,8.8,"Nutanix , Bengaluru / Pune",110000,1,1
AA,8.79,"Wayfair Global Technology Pvt. Ltd-Marketing, Data and ML platform Engineering team",100000,1,1
B2A7,8.79,"UBER - Software Engineer, Bengaluru",177000,1,1
AA,8.79,Texas Instruments -- Digital,60000,0,1
B3A7,8.79,"Oracle, Bangalore",100000,0,1
AA,8.79,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
A7,8.79,American Express - Products,N/A,1,0
B1A7,8.78,"UBER - Software Engineer, Bengaluru",177000,1,1
A7,8.78,RingCentral India Pvt Ltd,50000,0,1
B1A7,8.78,"Oracle, Bangalore",100000,1,1
B5A7,8.78,"Oracle, Bangalore",100000,1,1
AA,8.78,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
B3AA,8.78,Morgan Stanley FID Research roles,125000,1,1
A7,8.78,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,8.77,Wayfair Global Technology Pvt. Ltd- GST,100000,0,1
B5A3,8.77,Texas Instruments -- Digital,60000,1,1
B3AA,8.77,"JPMC CIB Research & Analytics, Markets - Trading and Structuring",175000,1,1
A3,8.76,"UBER - Software Engineer, Bengaluru",177000,1,0
B4A7,8.76,"JPMC, Model Risk and Governance Review",150000,1,1
A7,8.76,"JPMC - G&C - CIO, Treasury & Corporate (CTC) Risk team – Innovation & Analytics",150000,0,1
A7,8.76,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,0,1
B3A7,8.75,"Oracle, Bangalore",100000,1,1
B4A3,8.75,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
B3A7,8.75,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,0,1
A7,8.74,"Apple-Software Development Engineering , IS&T",90000,0,1
A7,8.73,"Oracle, Bangalore",100000,0,1
A3,8.73,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
A3,8.73,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,8.73,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,0,1
A7,8.72,Walmart,100000,0,1
B5AA,8.72,Texas Instruments - Analog,60000,1,1
A3,8.72,QICAP Markets LLP,100000,0,1
B1A7,8.72,"Nutanix , Bengaluru / Pune",110000,1,1
A7,8.72,Google India Software,123333,0,1
A8,8.72,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,8.72,AMAZON SDE,143000,0,1
AA,8.71,QUALCOMM,45000,0,1
AA,8.71,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
A7,8.71,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,0,1
A1,8.01,JPMC CIB R&A – Banking,75000,0,1
A3,8.702,"UBER - Software Engineer, Hyderabad/Bengaluru",177000,1,0
AA,8.7,Texas Instruments -- Technical Sales Representative,60000,0,1
A7,8.7,"Oracle, Bangalore",100000,0,1
B4A7,8.7,"Oracle, Bangalore",100000,1,1
B2A7,8.7,"Confluent India Pvt Ltd.,Bengaluru",110000,0,1
B4AA,8.7,Astera Labs,90000,1,1
B3A7,8.69,Morgan Stanley Research Data Strats,120000,1,1
A3,8.69,"Indus Insights and Analytical Services Pvt Ltd,Gurugram",N/A,0,1
A3,8.69,IBM,30000,0,1
A7,8.69,Harness.io,80000,0,1
A4,8.69,"Flipkart Internet Pvt Ltd - Business Analytics,Bengaluru",50000,1,0
A7,8.69,Capital One,100000,0,1
B2A3,8.69,AquaCarta ( partnered by Waterlife India ) - Aerial Imagery,N/A,1,1
A4,8.686,Telus International - Product Management,70000,1,0
A4,8.686,JPMC GR&C AWM Risk Analytics – Quantitative Research,175000,1,
AA,8.68,SIEMENS EDA India Private Limited,40000,0,1
A3,8.68,ALLEGRO MICRO SYSTEMS,N/A,0,1
A4,8.676,"JPMC CIB Research & Analytics, Markets - Trading and Structuring",175000,1,0
A7,8.67,Walmart,100000,0,1
A7,8.67,QUALCOMM,45000,0,1
B5AA,8.67,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",1,1
B3A3,8.67,JPMC CIB Research & Analytics Markets - CCAR & Sales,150000,0,1
A5,8.67,"Flipkart Internet Pvt Ltd - Business Analytics,Bengaluru",50000,1,0
AA,8.66,SIEMENS EDA India Private Limited,40000,0,1
A7,8.66,"Oracle, Bangalore",100000,0,1
B1A7,8.66,"Oracle, Bangalore",100000,1,1
B3A7,8.66,"JPMC CIB Research & Analytics, Markets - Trading and Structuring",175000,1,1
AA,8.66,"Apple, Software Engineering, HWT",90000,0,1
A7,8.65,Texas Instruments - Embedded Software,60000,0,1
B1A3,8.65,Texas Instruments - Analog,60000,0,1
A7,8.65,"Oracle, Bangalore",100000,0,1
A4,8.65,Meesho - APM,35000,0,1
B4A3,8.65,Astera Labs,90000,1,1
A8,8.65,AMAZON SDE - ES,143000,0,1
A7,8.64,"Siemens Industry Software India Pvt. Ltd, Pune",40000,0,1
B2AA,8.64,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",1,1
A3,8.64,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
A7,8.64,Meesho,35000,0,1
B5A4,8.05,JPMC - GR&C Wholesale Credit Risk - Product Owner Team,150000,1,1
B3A7,8.63,Qure.ai Technologies Pvt. Ltd.,125000,0,1
B3A1,8.63,JPMC - GR&C CCB Risk Strategic Analytics,75000,1,1
A8,8.63,Google India Software,123333,0,1
B1A8,8.63,"Flipkart (Software Development),Bengaluru",100000,1,1
A7,8.63,"Apple-Software Development Engineering , IS&T",90000,0,1
B3A7,8.63,"Apple-Software Development Engineering , IS&T",90000,0,1
A4,8.63,"Apple-MQE-MD, team - Manufacturing Quality Engineering",90000,0,1
B5AA,8.62,Texas Instruments - Analog,60000,0,1
B3A4,8.62,Nomura- Risk Management - CEM Internship,N/A,1,1
B1A1,8.62,JPMC - GR&C WCR Portfolio Analytics- Analytics Strategy,150000,1,1
B4A7,8.61,"Oracle, Bangalore",100000,1,1
B1A7,8.61,Morgan Stanley Data Analytics,100000,1,1
A7,8.6,Meesho,35000,0,1
B5A8,8.6,"Intel,Bengaluru",40000,1,1
AB,8.593,Telus International - Product Management,70000,1,0
AA,8.59,Walmart,100000,0,1
A3,8.59,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
B4AA,8.59,"Nutanix , Bengaluru / Pune",110000,1,1
AA,8.59,MathWorks India Private Limited,55000,0,1
A7,8.59,AMAZON SDE,143000,0,1
A7,8.58,Walmart,100000,0,1
AA,8.58,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,8.58,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,0,1
B4AA,8.57,"UBER - Software Engineer, Hyderabad/Bengaluru",177000,1,1
B3A7,8.57,"Oracle, Bangalore",100000,1,1
AA,8.57,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
B3A3,8.57,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",1,1
B1AB,8.57,"Flipkart Internet Pvt Ltd - Business Analytics,Bengaluru",50000,1,1
A7,8.57,"Flipkart (Software Development),Bengaluru",100000,0,1
A3,8.57,ARM Embedded Technologies Pvt Ltd,N/A,0,1
A4,8.565,JPMC GR&C Market Risk,150000,1,0
A7,8.562,"Nutanix , Bengaluru / Pune",110000,1,0
A7,8.56,"Oracle, Bangalore",100000,0,1
B4A4,8.56,Nielsen - DD Continuing,50000,1,1
B5A7,8.55,"Oracle, Bangalore",100000,1,1
A7,8.55,AMAZON SDE,143000,0,1
B5AA,8.54,"UBER - Software Engineer, Hyderabad/Bengaluru",177000,1,1
B4A3,8.54,Texas Instruments - Analog,60000,1,1
AA,8.54,"Rivos Systems India Pvt Ltd,Bengaluru",70000,0,1
A7,8.54,Qure.ai Technologies Pvt. Ltd.,125000,0,1
B3A7,8.54,JPMC GF&BM FESA Data Science,175000,0,1
B4AA,8.54,"A.T. Kearney Consulting (India) Private Limited,Gurugram",125000,1,1
A4,8.538,Telus International - Product Management,70000,1,0
AA,8.531,"Nutanix , Bengaluru / Pune",110000,1,0
A3,8.53,Texas Instruments -- Digital,60000,0,1
B4A3,8.53,"Nutanix , Bengaluru / Pune",110000,1,1
A3,8.53,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
A7,8.53,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,0,1
A7,8.53,"Apple-Software Development Engineering , IS&T",90000,0,1
A8,8.52,Ribbon Communication,75000,0,1
B3A3,8.52,JPMC - GR&C WCR Portfolio Analytics - Risk Grading Methodology & Climate Risk,150000,1,1
A7,8.52,IBM,30000,0,1
B2A8,8.52,"Flipkart Internet Pvt Ltd - UI Team ,Bengaluru",100000,1,1
A7,8.52,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,0,1
A7,8.52,COMMVAULT,N/A,0,1
A3,8.52,"BlokTrek,Bengaluru",N/A,0,1
A7,8.52,AMAZON SOLUTION ARCHITECT,110000,0,1
B3A7,8.51,Zomato (Grofers),60000,0,1
B2A7,8.51,"Oracle, Bangalore",100000,1,1
B3A3,8.51,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",1,1
B5AA,8.51,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
B3AA,8.51,JPMC - GR&C -AWM Investment Risk Analytics,150000,,1
B4A7,8.5,Qure.ai Technologies Pvt. Ltd.,125000,0,1
A7,8.5,QUALCOMM,45000,0,1
A7,8.5,QUALCOMM,45000,0,1
A7,8.5,COMMVAULT,N/A,0,1
A7,8.5,"Aptiv ,Bengaluru",50000,0,1
A7,8.49,Walmart,100000,0,1
A3,8.49,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
A3,8.49,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
A8,8.49,MathWorks India Private Limited,55000,0,1
A8,8.49,Goldman Sachs - Bengaluru,191666,0,1
A7,8.48,Traceable.ai,N/A,0,1
B3A3,8.48,JPMC CIB Research & Analytics Markets - CCAR & Sales,150000,0,1
A7,8.48,Hevo Technologies India Pvt. Ltd.,150000,0,1
AA,8.48,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,8.48,COMMVAULT,N/A,0,1
AA,8.477,JPMC CIB R&A – Banking,75000,1,0
B1A3,8.47,UBS- Global Banking(Front office),60000,0,1
A7,8.47,Qure.ai Technologies Pvt. Ltd.,125000,0,1
A8,8.47,"Cadence Design Systems,Pune",N/A,0,1
B4A7,8.47,"Apple-Software Development Engineering , IS&T",90000,,1
A7,8.47,AMAZON SDE,143000,0,1
A3,8.46,Wayfair Global Technology Pvt. Ltd- GST,100000,0,1
A7,8.46,Walmart,100000,0,1
A7,8.46,Texas Instruments -- Data Engineer,60000,0,1
A3,8.46,Texas Instruments - Analog,60000,0,1
A8,8.46,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
A7,7.83,Zynga,100000,,1
A3,8.46,AMAZON SOLUTION ARCHITECT,110000,0,1
A7,8.45,SIEMENS EDA India Private Limited,40000,0,1
B3A3,8.45,"Nutanix , Bengaluru / Pune",110000,1,1
B3A7,8.45,Morgan Stanley Research Data Strats,120000,1,1
A7,8.45,Meesho,35000,0,1
A7,8.45,"Cohesity Storage Solutions India Pvt. Ltd., Bengaluru/Pune",120000,0,1
AA,8.44,Texas Instruments - Analog,60000,0,1
AA,8.44,QUALCOMM,45000,0,1
B4AA,8.44,Nomura - Risk Management - Market Risk role,N/A,1,1
AA,8.44,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
A7,8.44,"Flipkart (Software Development),Bengaluru",100000,0,1
AA,8.44,"Flipkart (Software Development),Bengaluru",100000,0,1
A4,8.44,"DBOI - Business Finance,Mumbai",50000,0,1
A7,8.43,Zomato,0,,1
A3,8.43,Texas Instruments - Analog,60000,0,1
B4A7,8.43,Morgan Stanley Quantitative and Investment Strategies Strats role,113000,1,1
B2A4,8.43,Goodera - Engineering,35000,0,1
B2AA,8.42,SIEMENS EDA India Private Limited,40000,,1
B4A7,8.42,Nomura IT Internship - GMIT - Trade Processing,N/A,1,1
A4,8.42,Apple-PQM- Product Ops team,90000,0,1
B2A1,8.42,"A.T. Kearney Consulting (India) Private Limited,Gurugram",125000,0,1
A3,8.411,JPMC GR&C Market Risk,150000,1,0
B5AA,8.41,Texas Instruments - Analog,60000,1,1
A7,8.41,"Oracle, Bangalore",100000,0,1
B3A3,8.41,"MIPS Embedded Technologies Pvt. Ltd,Bengaluru",50000,1,1
A8,8.41,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
A7,8.41,McCain Foods (India) Pvt. Ltd.,50000,0,1
B3A3,8.41,"JPMC CIB Research & Analytics, Global Research",150000,1,1
A3,8.41,Goodera - Engineering,35000,0,1
A7,8.41,Capital One,100000,0,1
B3AA,8.41,Astera Labs,90000,1,1
A7,8.402,American Express - Products,N/A,1,0
A7,8.4,"Wayfair Global Technology Pvt. Ltd-Marketing, Data and ML platform Engineering team",100000,0,1
A7,8.4,Walmart,100000,0,1
B2A3,8.4,Texas Instruments -- Digital,60000,1,1
B1A7,8.4,"Oracle, Bangalore",100000,1,1
B3A7,8.39,Nomura- Global Markets-Analyst role,N/A,1,1
A7,8.39,"Flipkart (Software Development),Bengaluru",100000,0,1
